Dataset,Network,Median_AUC,Z_score
ADI,bayes_cor3,0.590231345,31.27005341
ADI,partial correlation,0.561653019,26.60429088
ADI,bayes_cor2,0.586773922,26.44136124
ADI,bayes_cor1,0.574030524,24.71103243
ADI,pearson correlation,0.554924403,24.35251704
ADI,hdWGCNA,0.562532423,12.83955357
ADI,hotspot,0.541489749,11.5374052
ADI,random network,0.506572548,-3.783521976
BRCA,bayes_cor3,0.682497096,49.18861842
BRCA,bayes_cor2,0.671614902,48.36810297
BRCA,bayes_cor1,0.671502357,45.13049027
BRCA,partial correlation,0.666928626,40.55855811
BRCA,pearson correlation,0.557622534,39.97675158
BRCA,hotspot,0.549300175,34.15655425
BRCA,hdWGCNA,0.634271342,27.46527177
BRCA,random network,0.500171802,-3.298969776
CHD,bayes_cor2,0.576725345,24.8584123
CHD,bayes_cor1,0.574385243,24.29921866
CHD,bayes_cor3,0.588581962,24.11433979
CHD,partial correlation,0.556634117,18.34252044
CHD,hotspot,0.578092332,11.97223409
CHD,pearson correlation,0.562957015,6.082245576
CHD,hdWGCNA,0.567862372,4.600675449
CHD,random network,0.494497267,-3.049012096
CM,bayes_cor3,0.604409516,30.13737303
CM,bayes_cor1,0.598742857,28.68310292
CM,partial correlation,0.588005265,27.97398894
CM,bayes_cor2,0.593774949,27.95885807
CM,hotspot,0.59444,21.02642331
CM,pearson correlation,0.596951989,12.03778363
CM,hdWGCNA,0.559276068,9.456691719
CM,random network,0.49601659,-4.053868871
COVID19,bayes_cor1,0.606108122,47.07475251
COVID19,bayes_cor2,0.606313321,43.92314955
COVID19,bayes_cor3,0.623880046,33.8319069
COVID19,pearson correlation,0.622290495,21.80213798
COVID19,partial correlation,0.557878107,20.3068034
COVID19,hotspot,0.61242202,13.57082585
COVID19,hdWGCNA,0.566527065,4.810255938
COVID19,random network,0.496476304,-4.658607454
HBA,bayes_cor3,0.625499113,45.56241134
HBA,bayes_cor2,0.6216574,43.62818146
HBA,bayes_cor1,0.619871915,43.23007164
HBA,partial correlation,0.607442057,34.75439616
HBA,pearson correlation,0.54173408,29.18214858
HBA,hotspot,0.535036187,27.159253
HBA,hdWGCNA,0.571700748,13.78528511
HBA,random network,0.50207962,-4.282903072
HBM,bayes_cor2,0.615592887,38.59550738
HBM,bayes_cor3,0.628758044,35.83553351
HBM,bayes_cor1,0.612131883,33.80220932
HBM,partial correlation,0.589500184,27.45598143
HBM,pearson correlation,0.609318028,14.18228604
HBM,hotspot,0.604673496,9.663469623
HBM,hdWGCNA,0.564428287,3.944023343
HBM,random network,0.508974261,-8.480644896
ICM,bayes_cor3,0.594348594,24.77569889
ICM,partial correlation,0.563399694,23.86224061
ICM,bayes_cor2,0.573116166,23.12466071
ICM,bayes_cor1,0.576101805,21.32057147
ICM,hotspot,0.537580921,14.42132394
ICM,hdWGCNA,0.553647799,8.872014768
ICM,pearson correlation,0.548329253,7.070119135
ICM,random network,0.498064419,-2.479262369
ISL,bayes_cor3,0.581646245,37.57666393
ISL,bayes_cor1,0.571322279,35.57514295
ISL,bayes_cor2,0.572894948,34.38497807
ISL,partial correlation,0.564807371,29.18428625
ISL,pearson correlation,0.541541863,20.14514486
ISL,hotspot,0.529425975,8.870864683
ISL,hdWGCNA,0.548207426,5.346340288
ISL,random network,0.49731745,-2.781262354
TAA,bayes_cor2,0.552475802,9.383105784
TAA,bayes_cor3,0.553846738,9.278499189
TAA,bayes_cor1,0.552162411,8.23350491
TAA,hotspot,0.512055838,5.859630769
TAA,pearson correlation,0.519694831,5.78594832
TAA,partial correlation,0.539074501,3.938953384
TAA,hdWGCNA,0.544850849,3.928174689
TAA,random network,0.491009615,-5.673545481
